,county,state_name,month,days_of_rain,highCelsius,lowCelsius
2785,Honolulu,Hawaii,June,2,30,22
2786,Honolulu,Hawaii,July,3,31,23
2787,Honolulu,Hawaii,August,3,31,23
2788,Honolulu,Hawaii,January,6,27,18
2789,Honolulu,Hawaii,February,5,27,18
2790,Honolulu,Hawaii,March,6,28,19
2791,Honolulu,Hawaii,April,5,28,20
2796,Honolulu,Hawaii,septiembre,4,31,23
2797,Honolulu,Hawaii,October,4,30,22
2798,Honolulu,Hawaii,November,6,29,21
2799,Honolulu,Hawaii,December,7,28,19
2800,Kauai,Hawaii,May,3,26,18
2801,Kauai,Hawaii,June,2,28,20
2802,Kauai,Hawaii,July,2,28,20
2803,Kauai,Hawaii,August,2,29,20
2804,Kauai,Hawaii,January,6,24,16
2805,Kauai,Hawaii,February,5,24,16
2806,Kauai,Hawaii,March,4,25,16
2807,Kauai,Hawaii,April,4,25,17
2812,Kauai,Hawaii,septiembre,3,28,20
2813,Kauai,Hawaii,October,4,28,20
2814,Kauai,Hawaii,November,4,26,18
2815,Kauai,Hawaii,December,6,25,17
2816,Maui,Hawaii,May,4,23,14
2817,Maui,Hawaii,June,2,24,15
2818,Maui,Hawaii,July,3,25,16
2819,Maui,Hawaii,August,3,26,16
2820,Maui,Hawaii,January,5,21,13
2821,Maui,Hawaii,February,5,21,13
2822,Maui,Hawaii,March,6,22,13
2823,Maui,Hawaii,April,4,23,13
2828,Maui,Hawaii,septiembre,3,25,16
2829,Maui,Hawaii,October,3,25,15
2830,Maui,Hawaii,November,3,24,15
2831,Maui,Hawaii,December,4,22,14
2832,Ada,Idaho,May,5,21,7
2833,Ada,Idaho,June,3,27,11
2834,Ada,Idaho,July,1,32,15
2835,Ada,Idaho,August,1,31,14
2836,Ada,Idaho,January,6,3,-5
2837,Ada,Idaho,February,5,7,-3
2838,Ada,Idaho,March,7,12,0
2839,Ada,Idaho,April,5,16,3
2844,Ada,Idaho,septiembre,2,25,10
2845,Ada,Idaho,October,3,18,4
2846,Ada,Idaho,November,6,9,-1
2847,Ada,Idaho,December,7,3,-5
2848,Bannock,Idaho,May,7,19,2
2849,Bannock,Idaho,June,4,24,6
2850,Bannock,Idaho,July,2,30,10
2851,Bannock,Idaho,August,3,29,9
2852,Bannock,Idaho,January,7,-1,-11
2853,Bannock,Idaho,February,5,2,-9
2854,Bannock,Idaho,March,5,9,-4
2855,Bannock,Idaho,April,5,14,-1
2860,Bannock,Idaho,septiembre,3,24,4
2861,Bannock,Idaho,October,4,16,-1
2862,Bannock,Idaho,November,5,6,-6
2863,Bannock,Idaho,December,7,0,-10
2864,Bonneville,Idaho,May,9,15,-1
2865,Bonneville,Idaho,June,6,21,3
2866,Bonneville,Idaho,July,5,26,5
2867,Bonneville,Idaho,August,5,26,4
2868,Bonneville,Idaho,January,7,-4,-14
2869,Bonneville,Idaho,February,6,-1,-13
2870,Bonneville,Idaho,March,6,4,-8
2871,Bonneville,Idaho,April,8,10,-5
2876,Bonneville,Idaho,septiembre,5,20,0
2877,Bonneville,Idaho,October,6,12,-4
2878,Bonneville,Idaho,November,7,3,-9
2879,Bonneville,Idaho,December,7,-3,-13
2880,Canyon,Idaho,May,4,24,8
2881,Canyon,Idaho,June,3,29,12
2882,Canyon,Idaho,July,2,34,15
2883,Canyon,Idaho,August,2,33,13
2884,Canyon,Idaho,January,7,3,-6
2885,Canyon,Idaho,February,5,8,-3
2886,Canyon,Idaho,March,7,14,0
2887,Canyon,Idaho,April,5,19,3
2892,Canyon,Idaho,septiembre,2,27,8
2893,Canyon,Idaho,October,3,19,3
2894,Canyon,Idaho,November,7,10,-2
2895,Canyon,Idaho,December,7,3,-5
2896,Kootenai,Idaho,May,8,17,4
2897,Kootenai,Idaho,June,7,21,8
2898,Kootenai,Idaho,July,3,27,11
2899,Kootenai,Idaho,August,3,27,10
2900,Kootenai,Idaho,January,11,-1,-6
2901,Kootenai,Idaho,February,9,2,-6
2902,Kootenai,Idaho,March,9,7,-3
2903,Kootenai,Idaho,April,8,12,1
2908,Kootenai,Idaho,septiembre,4,21,6
2909,Kootenai,Idaho,October,7,12,1
2910,Kootenai,Idaho,November,11,4,-3
2911,Kootenai,Idaho,December,11,-1,-7
2912,Twin Falls,Idaho,May,4,20,4
2913,Twin Falls,Idaho,June,3,25,8
2914,Twin Falls,Idaho,July,2,30,13
2915,Twin Falls,Idaho,August,2,30,12
2916,Twin Falls,Idaho,January,4,4,-7
2917,Twin Falls,Idaho,February,3,6,-5
2918,Twin Falls,Idaho,March,4,11,-2
2919,Twin Falls,Idaho,April,4,15,0
2924,Twin Falls,Idaho,septiembre,2,24,7
2925,Twin Falls,Idaho,October,3,17,2
2926,Twin Falls,Idaho,November,3,9,-3
2927,Twin Falls,Idaho,December,3,4,-7
2928,Adams,Illinois,May,9,23,11
2929,Adams,Illinois,June,7,28,16
2930,Adams,Illinois,July,6,31,18
2931,Adams,Illinois,August,6,29,17
2932,Adams,Illinois,January,4,0,-9
2933,Adams,Illinois,February,4,3,-7
2934,Adams,Illinois,March,7,10,-1
2935,Adams,Illinois,April,7,18,5
2940,Adams,Illinois,septiembre,6,26,13
2941,Adams,Illinois,October,6,19,6
2942,Adams,Illinois,November,6,10,0
2943,Adams,Illinois,December,5,3,-6
2944,Champaign,Illinois,May,9,25,13
2945,Champaign,Illinois,June,9,29,18
2946,Champaign,Illinois,July,7,30,19
2947,Champaign,Illinois,August,5,29,18
2948,Champaign,Illinois,January,5,2,-7
2949,Champaign,Illinois,February,6,3,-6
2950,Champaign,Illinois,March,6,11,1
2951,Champaign,Illinois,April,8,19,6
2956,Champaign,Illinois,septiembre,7,27,14
2957,Champaign,Illinois,October,7,19,8
2958,Champaign,Illinois,November,6,12,2
2959,Champaign,Illinois,December,8,4,-4
2960,Cook,Illinois,May,9,22,11
2961,Cook,Illinois,June,8,27,16
2962,Cook,Illinois,July,7,29,19
2963,Cook,Illinois,August,7,28,19
2964,Cook,Illinois,January,7,0,-8
2965,Cook,Illinois,February,6,2,-6
2966,Cook,Illinois,March,8,8,0
2967,Cook,Illinois,April,8,15,5
2972,Cook,Illinois,septiembre,6,24,14
2973,Cook,Illinois,October,7,17,8
2974,Cook,Illinois,November,7,9,1
2975,Cook,Illinois,December,7,2,-5
2976,DeKalb,Illinois,May,8,23,12
2977,DeKalb,Illinois,June,10,28,17
2978,DeKalb,Illinois,July,7,29,19
2979,DeKalb,Illinois,August,7,28,18
2980,DeKalb,Illinois,January,5,3,-6
2981,DeKalb,Illinois,February,7,4,-5
2982,DeKalb,Illinois,March,5,12,2
2983,DeKalb,Illinois,April,8,18,6
2988,DeKalb,Illinois,septiembre,5,25,14
2989,DeKalb,Illinois,October,7,18,8
2990,DeKalb,Illinois,November,5,11,2
2991,DeKalb,Illinois,December,7,4,-3
2992,DuPage,Illinois,May,9,23,9
2993,DuPage,Illinois,June,8,28,14
2994,DuPage,Illinois,July,7,30,17
2995,DuPage,Illinois,August,7,29,16
2996,DuPage,Illinois,January,6,0,-10
2997,DuPage,Illinois,February,5,3,-7
2998,DuPage,Illinois,March,7,10,-2
2999,DuPage,Illinois,April,8,17,3
3004,DuPage,Illinois,septiembre,6,26,12
3005,DuPage,Illinois,October,6,19,5
3006,DuPage,Illinois,November,7,10,0
3007,DuPage,Illinois,December,6,3,-6
3008,Kane,Illinois,May,9,21,9
3009,Kane,Illinois,June,8,26,14
3010,Kane,Illinois,July,7,29,17
3011,Kane,Illinois,August,8,28,16
3012,Kane,Illinois,January,5,-2,-11
3013,Kane,Illinois,February,5,1,-9
3014,Kane,Illinois,March,6,7,-3
3015,Kane,Illinois,April,8,15,3
3020,Kane,Illinois,septiembre,6,24,11
3021,Kane,Illinois,October,6,17,4
3022,Kane,Illinois,November,7,8,-1
3023,Kane,Illinois,December,7,1,-8
3024,Kankakee,Illinois,May,8,23,10
3025,Kankakee,Illinois,June,7,28,15
3026,Kankakee,Illinois,July,7,30,18
3027,Kankakee,Illinois,August,6,29,16
3028,Kankakee,Illinois,January,6,0,-10
3029,Kankakee,Illinois,February,5,2,-8
3030,Kankakee,Illinois,March,7,9,-2
3031,Kankakee,Illinois,April,8,16,4
3036,Kankakee,Illinois,septiembre,6,26,12
3037,Kankakee,Illinois,October,7,18,5
3038,Kankakee,Illinois,November,7,10,0
3039,Kankakee,Illinois,December,6,3,-6
3040,Kendall,Illinois,May,9,23,11
3041,Kendall,Illinois,June,8,28,16
3042,Kendall,Illinois,July,6,28,17
3043,Kendall,Illinois,August,7,28,17
3044,Kendall,Illinois,January,4,0,-8
3045,Kendall,Illinois,February,5,2,-7
3046,Kendall,Illinois,March,6,9,0
3047,Kendall,Illinois,April,8,17,5
3052,Kendall,Illinois,septiembre,6,25,13
3053,Kendall,Illinois,October,7,18,7
3054,Kendall,Illinois,November,5,10,1
3055,Kendall,Illinois,December,5,2,-5
3056,Lake,Illinois,May,5,17,9
3057,Lake,Illinois,June,6,23,15
3058,Lake,Illinois,July,5,26,19
3059,Lake,Illinois,August,6,25,19
3060,Lake,Illinois,January,3,-1,-7
3061,Lake,Illinois,February,2,0,-6
3062,Lake,Illinois,March,3,6,0
3063,Lake,Illinois,April,5,11,4
3068,Lake,Illinois,septiembre,5,22,15
3069,Lake,Illinois,October,5,16,9
3070,Lake,Illinois,November,6,9,3
3071,Lake,Illinois,December,4,2,-4
3072,LaSalle,Illinois,May,9,23,10
3073,LaSalle,Illinois,June,8,27,15
3074,LaSalle,Illinois,July,7,29,17
3075,LaSalle,Illinois,August,7,28,16
3076,LaSalle,Illinois,January,6,-1,-10
3077,LaSalle,Illinois,February,5,2,-8
3078,LaSalle,Illinois,March,7,9,-2
3079,LaSalle,Illinois,April,9,17,4
3084,LaSalle,Illinois,septiembre,6,25,12
3085,LaSalle,Illinois,October,6,18,5
3086,LaSalle,Illinois,November,6,9,-1
3087,LaSalle,Illinois,December,6,2,-7
3088,McHenry,Illinois,May,9,20,8
3089,McHenry,Illinois,June,8,25,13
3090,McHenry,Illinois,July,7,27,16
3091,McHenry,Illinois,August,7,26,15
3092,McHenry,Illinois,January,5,-2,-11
3093,McHenry,Illinois,February,5,0,-10
3094,McHenry,Illinois,March,6,6,-4
3095,McHenry,Illinois,April,8,14,2
3100,McHenry,Illinois,septiembre,6,23,10
3101,McHenry,Illinois,October,7,16,4
3102,McHenry,Illinois,November,6,8,-2
3103,McHenry,Illinois,December,6,0,-8
3104,McLean,Illinois,May,9,24,10
3105,McLean,Illinois,June,8,29,16
3106,McLean,Illinois,July,7,30,18
3107,McLean,Illinois,August,7,29,17
3108,McLean,Illinois,January,6,1,-9
3109,McLean,Illinois,February,6,3,-7
3110,McLean,Illinois,March,8,10,-2
3111,McLean,Illinois,April,9,17,4
3116,McLean,Illinois,septiembre,5,26,12
3117,McLean,Illinois,October,7,19,6
3118,McLean,Illinois,November,7,10,0
3119,McLean,Illinois,December,7,3,-6
3120,Macon,Illinois,May,9,24,11
3121,Macon,Illinois,June,8,29,16
3122,Macon,Illinois,July,7,31,19
3123,Macon,Illinois,August,6,30,18
3124,Macon,Illinois,January,6,2,-8
3125,Macon,Illinois,February,5,5,-6
3126,Macon,Illinois,March,7,11,0
3127,Macon,Illinois,April,8,18,6
3132,Macon,Illinois,septiembre,5,27,13
3133,Macon,Illinois,October,6,20,7
3134,Macon,Illinois,November,7,11,1
3135,Macon,Illinois,December,6,4,-5
3136,Madison,Illinois,May,9,24,14
3137,Madison,Illinois,June,8,29,19
3138,Madison,Illinois,July,6,30,21
3139,Madison,Illinois,August,6,30,19
3140,Madison,Illinois,January,5,4,-4
3141,Madison,Illinois,February,6,7,-2
3142,Madison,Illinois,March,8,13,3
3143,Madison,Illinois,April,8,19,8
3148,Madison,Illinois,septiembre,5,26,15
3149,Madison,Illinois,October,7,20,9
3150,Madison,Illinois,November,7,13,3
3151,Madison,Illinois,December,6,6,-2
3152,Peoria,Illinois,May,9,24,10
3153,Peoria,Illinois,June,7,29,16
3154,Peoria,Illinois,July,6,31,18
3155,Peoria,Illinois,August,6,30,17
3156,Peoria,Illinois,January,6,1,-9
3157,Peoria,Illinois,February,5,4,-7
3158,Peoria,Illinois,March,7,11,-1
3159,Peoria,Illinois,April,8,19,5
3164,Peoria,Illinois,septiembre,5,26,12
3165,Peoria,Illinois,October,7,20,6
3166,Peoria,Illinois,November,6,11,0
3167,Peoria,Illinois,December,6,4,-6
3168,Rock Island,Illinois,May,8,23,10
3169,Rock Island,Illinois,June,8,28,16
3170,Rock Island,Illinois,July,7,30,18
3171,Rock Island,Illinois,August,7,29,17
3172,Rock Island,Illinois,January,5,-1,-10
3173,Rock Island,Illinois,February,5,2,-8
3174,Rock Island,Illinois,March,7,9,-2
3175,Rock Island,Illinois,April,8,17,4
3180,Rock Island,Illinois,septiembre,6,25,12
3181,Rock Island,Illinois,October,6,18,6
3182,Rock Island,Illinois,November,6,9,-1
3183,Rock Island,Illinois,December,6,2,-7
3184,St Clair,Illinois,May,9,25,13
3185,St Clair,Illinois,June,7,30,18
3186,St Clair,Illinois,July,6,32,20
3187,St Clair,Illinois,August,5,31,18
3188,St Clair,Illinois,January,5,5,-5
3189,St Clair,Illinois,February,5,8,-3
3190,St Clair,Illinois,March,7,14,2
3191,St Clair,Illinois,April,8,21,8
3196,St Clair,Illinois,septiembre,5,28,14
3197,St Clair,Illinois,October,6,22,8
3198,St Clair,Illinois,November,6,14,3
3199,St Clair,Illinois,December,6,7,-2
3200,Sangamon,Illinois,May,10,23,12
3201,Sangamon,Illinois,June,8,28,18
3202,Sangamon,Illinois,July,7,30,19
3203,Sangamon,Illinois,August,6,29,18
3204,Sangamon,Illinois,January,6,3,-7
3205,Sangamon,Illinois,February,6,5,-6
3206,Sangamon,Illinois,March,8,12,0
3207,Sangamon,Illinois,April,8,19,6
3212,Sangamon,Illinois,septiembre,6,26,14
3213,Sangamon,Illinois,October,7,19,7
3214,Sangamon,Illinois,November,6,13,1
3215,Sangamon,Illinois,December,7,5,-4
3216,Tazewell,Illinois,May,10,23,10
3217,Tazewell,Illinois,June,8,28,15
3218,Tazewell,Illinois,July,7,30,17
3219,Tazewell,Illinois,August,7,29,16
3220,Tazewell,Illinois,January,6,1,-9
3221,Tazewell,Illinois,February,5,4,-7
3222,Tazewell,Illinois,March,6,10,-2
3223,Tazewell,Illinois,April,8,18,4
3228,Tazewell,Illinois,septiembre,5,27,11
3229,Tazewell,Illinois,October,7,19,5
3230,Tazewell,Illinois,November,6,11,-1
3231,Tazewell,Illinois,December,6,3,-6
3232,Vermilion,Illinois,May,10,24,11
3233,Vermilion,Illinois,June,8,29,16
3234,Vermilion,Illinois,July,8,30,18
3235,Vermilion,Illinois,August,7,29,17
3236,Vermilion,Illinois,January,6,1,-8
3237,Vermilion,Illinois,February,6,4,-6
3238,Vermilion,Illinois,March,8,11,0
3239,Vermilion,Illinois,April,9,18,5
3244,Vermilion,Illinois,septiembre,6,26,13
3245,Vermilion,Illinois,October,7,19,7
3246,Vermilion,Illinois,November,7,11,1
3247,Vermilion,Illinois,December,8,4,-5
3248,Will,Illinois,May,9,22,9
3249,Will,Illinois,June,8,27,15
3250,Will,Illinois,July,7,29,18
3251,Will,Illinois,August,7,28,17
3252,Will,Illinois,January,5,-1,-10
3253,Will,Illinois,February,5,2,-8
3254,Will,Illinois,March,7,8,-2
3255,Will,Illinois,April,8,16,4
3260,Will,Illinois,septiembre,6,25,12
3261,Will,Illinois,October,6,18,6
3262,Will,Illinois,November,6,10,0
3263,Will,Illinois,December,6,2,-6
3264,Williamson,Illinois,May,9,24,11
3265,Williamson,Illinois,June,7,28,16
3266,Williamson,Illinois,July,7,31,19
3267,Williamson,Illinois,August,6,30,18
3268,Williamson,Illinois,January,6,3,-7
3269,Williamson,Illinois,February,6,7,-5
3270,Williamson,Illinois,March,9,13,1
3271,Williamson,Illinois,April,9,19,6
3276,Williamson,Illinois,septiembre,6,26,13
3277,Williamson,Illinois,October,7,20,7
3278,Williamson,Illinois,November,7,13,2
3279,Williamson,Illinois,December,7,6,-4
3280,Winnebago,Illinois,May,9,22,9
3281,Winnebago,Illinois,June,9,27,15
3282,Winnebago,Illinois,July,7,29,17
3283,Winnebago,Illinois,August,7,28,16
3284,Winnebago,Illinois,January,6,-2,-11
3285,Winnebago,Illinois,February,5,0,-9
3286,Winnebago,Illinois,March,7,8,-3
3287,Winnebago,Illinois,April,8,15,3
3292,Winnebago,Illinois,septiembre,6,24,11
3293,Winnebago,Illinois,October,7,17,5
3294,Winnebago,Illinois,November,6,8,-1
3295,Winnebago,Illinois,December,7,1,-8
3296,Allen,Indiana,May,9,22,10
3297,Allen,Indiana,June,8,27,15
3298,Allen,Indiana,July,7,29,17
3299,Allen,Indiana,August,7,28,16
3300,Allen,Indiana,January,7,0,-8
3301,Allen,Indiana,February,6,2,-7
3302,Allen,Indiana,March,8,9,-2
3303,Allen,Indiana,April,9,16,4
3308,Allen,Indiana,septiembre,6,24,12
3309,Allen,Indiana,October,7,17,6
3310,Allen,Indiana,November,7,10,1
3311,Allen,Indiana,December,8,3,-5
3312,Bartholomew,Indiana,May,9,24,13
3313,Bartholomew,Indiana,June,9,28,18
3314,Bartholomew,Indiana,July,8,29,20
3315,Bartholomew,Indiana,August,5,29,18
3316,Bartholomew,Indiana,January,7,3,-5
3317,Bartholomew,Indiana,February,7,6,-3
3318,Bartholomew,Indiana,March,9,11,2
3319,Bartholomew,Indiana,April,10,18,7
3324,Bartholomew,Indiana,septiembre,6,26,14
3325,Bartholomew,Indiana,October,7,19,8
3326,Bartholomew,Indiana,November,6,12,3
3327,Bartholomew,Indiana,December,9,5,-2
3328,Boone,Indiana,May,9,23,11
3329,Boone,Indiana,June,8,28,16
3330,Boone,Indiana,July,7,30,17
3331,Boone,Indiana,August,6,29,16
3332,Boone,Indiana,January,7,1,-8
3333,Boone,Indiana,February,6,4,-6
3334,Boone,Indiana,March,8,10,-1
3335,Boone,Indiana,April,9,18,5
3340,Boone,Indiana,septiembre,6,26,12
3341,Boone,Indiana,October,6,19,6
3342,Boone,Indiana,November,7,11,1
3343,Boone,Indiana,December,8,4,-5
3344,Clark,Indiana,May,8,26,13
3345,Clark,Indiana,June,6,30,17
3346,Clark,Indiana,July,6,32,20
3347,Clark,Indiana,August,6,31,19
3348,Clark,Indiana,January,5,6,-4
3349,Clark,Indiana,February,5,9,-2
3350,Clark,Indiana,March,8,14,2
3351,Clark,Indiana,April,8,21,7
3356,Clark,Indiana,septiembre,6,28,14
3357,Clark,Indiana,October,5,22,8
3358,Clark,Indiana,November,7,14,3
3359,Clark,Indiana,December,7,8,-2
3360,Delaware,Indiana,May,9,23,11
3361,Delaware,Indiana,June,8,27,16
3362,Delaware,Indiana,July,7,29,18
3363,Delaware,Indiana,August,7,28,17
3364,Delaware,Indiana,January,7,1,-8
3365,Delaware,Indiana,February,6,3,-6
3366,Delaware,Indiana,March,8,10,-1
3367,Delaware,Indiana,April,9,17,5
3372,Delaware,Indiana,septiembre,6,25,12
3373,Delaware,Indiana,October,7,18,6
3374,Delaware,Indiana,November,7,10,1
3375,Delaware,Indiana,December,9,4,-4
3376,Elkhart,Indiana,May,8,22,10
3377,Elkhart,Indiana,June,8,27,15
3378,Elkhart,Indiana,July,7,29,17
3379,Elkhart,Indiana,August,7,28,16
3380,Elkhart,Indiana,January,7,0,-8
3381,Elkhart,Indiana,February,7,2,-7
3382,Elkhart,Indiana,March,8,8,-2
3383,Elkhart,Indiana,April,9,16,4
3388,Elkhart,Indiana,septiembre,7,24,12
3389,Elkhart,Indiana,October,8,17,6
3390,Elkhart,Indiana,November,8,9,1
3391,Elkhart,Indiana,December,8,2,-5
3392,Floyd,Indiana,May,9,25,13
3393,Floyd,Indiana,June,8,29,18
3394,Floyd,Indiana,July,7,31,20
3395,Floyd,Indiana,August,7,30,20
3396,Floyd,Indiana,January,7,4,-5
3397,Floyd,Indiana,February,6,7,-3
3398,Floyd,Indiana,March,10,14,3
3399,Floyd,Indiana,April,9,21,8
3404,Floyd,Indiana,septiembre,7,27,16
3405,Floyd,Indiana,October,6,21,9
3406,Floyd,Indiana,November,8,13,4
3407,Floyd,Indiana,December,7,8,-1
3408,Grant,Indiana,May,9,22,9
3409,Grant,Indiana,June,8,27,15
3410,Grant,Indiana,July,7,29,17
3411,Grant,Indiana,August,7,28,16
3412,Grant,Indiana,January,7,0,-9
3413,Grant,Indiana,February,6,2,-7
3414,Grant,Indiana,March,8,9,-2
3415,Grant,Indiana,April,9,16,3
3420,Grant,Indiana,septiembre,6,25,12
3421,Grant,Indiana,October,7,18,5
3422,Grant,Indiana,November,8,10,0
3423,Grant,Indiana,December,8,3,-5
3424,Hamilton,Indiana,May,9,23,10
3425,Hamilton,Indiana,June,6,28,15
3426,Hamilton,Indiana,July,8,30,17
3427,Hamilton,Indiana,August,8,29,16
3428,Hamilton,Indiana,January,5,-1,-11
3429,Hamilton,Indiana,February,5,2,-9
3430,Hamilton,Indiana,March,7,10,-1
3431,Hamilton,Indiana,April,9,17,4
3436,Hamilton,Indiana,septiembre,5,26,12
3437,Hamilton,Indiana,October,8,18,5
3438,Hamilton,Indiana,November,9,11,0
3439,Hamilton,Indiana,December,7,4,-6
3440,Hancock,Indiana,May,10,23,11
3441,Hancock,Indiana,June,9,28,16
3442,Hancock,Indiana,July,8,29,18
3443,Hancock,Indiana,August,7,29,17
3444,Hancock,Indiana,January,7,1,-8
3445,Hancock,Indiana,February,6,4,-6
3446,Hancock,Indiana,March,9,10,-1
3447,Hancock,Indiana,April,10,17,5
3452,Hancock,Indiana,septiembre,6,25,13
3453,Hancock,Indiana,October,7,19,6
3454,Hancock,Indiana,November,7,11,1
3455,Hancock,Indiana,December,8,4,-5
3456,Hendricks,Indiana,May,10,22,10
3457,Hendricks,Indiana,June,7,27,16
3458,Hendricks,Indiana,July,7,29,17
3459,Hendricks,Indiana,August,6,28,16
3460,Hendricks,Indiana,January,7,2,-8
3461,Hendricks,Indiana,February,5,4,-6
3462,Hendricks,Indiana,March,7,10,-1
3463,Hendricks,Indiana,April,8,17,4
3468,Hendricks,Indiana,septiembre,5,25,12
3469,Hendricks,Indiana,October,6,19,6
3470,Hendricks,Indiana,November,7,11,0
3471,Hendricks,Indiana,December,7,4,-5
3472,Howard,Indiana,May,9,22,10
3473,Howard,Indiana,June,9,27,15
3474,Howard,Indiana,July,7,29,17
3475,Howard,Indiana,August,7,28,15
3476,Howard,Indiana,January,8,0,-9
3477,Howard,Indiana,February,7,2,-8
3478,Howard,Indiana,March,9,9,-2
3479,Howard,Indiana,April,9,16,3
3484,Howard,Indiana,septiembre,6,25,11
3485,Howard,Indiana,October,7,18,5
3486,Howard,Indiana,November,8,10,0
3487,Howard,Indiana,December,9,3,-6
3488,Johnson,Indiana,May,9,23,11
3489,Johnson,Indiana,June,9,28,17
3490,Johnson,Indiana,July,8,29,18
3491,Johnson,Indiana,August,6,29,17
3492,Johnson,Indiana,January,7,3,-7
3493,Johnson,Indiana,February,6,5,-6
3494,Johnson,Indiana,March,8,11,0
3495,Johnson,Indiana,April,9,18,5
3500,Johnson,Indiana,septiembre,5,26,13
3501,Johnson,Indiana,October,6,19,7
3502,Johnson,Indiana,November,6,12,0
3503,Johnson,Indiana,December,8,5,-4
3504,Kosciusko,Indiana,May,9,22,10
3505,Kosciusko,Indiana,June,8,27,16
3506,Kosciusko,Indiana,July,7,28,17
3507,Kosciusko,Indiana,August,7,27,16
3508,Kosciusko,Indiana,January,7,1,-7
3509,Kosciusko,Indiana,February,5,2,-6
3510,Kosciusko,Indiana,March,6,9,-1
3511,Kosciusko,Indiana,April,9,16,4
3516,Kosciusko,Indiana,septiembre,7,24,13
3517,Kosciusko,Indiana,October,7,17,7
3518,Kosciusko,Indiana,November,7,10,1
3519,Kosciusko,Indiana,December,7,3,-4
3520,Lake,Indiana,May,9,22,9
3521,Lake,Indiana,June,8,27,14
3522,Lake,Indiana,July,7,30,17
3523,Lake,Indiana,August,7,28,16
3524,Lake,Indiana,January,7,0,-9
3525,Lake,Indiana,February,5,3,-7
3526,Lake,Indiana,March,7,9,-2
3527,Lake,Indiana,April,9,16,3
3532,Lake,Indiana,septiembre,7,25,12
3533,Lake,Indiana,October,7,18,6
3534,Lake,Indiana,November,8,10,0
3535,Lake,Indiana,December,7,3,-6
3536,LaPorte,Indiana,May,9,21,9
3537,LaPorte,Indiana,June,8,27,14
3538,LaPorte,Indiana,July,8,29,16
3539,LaPorte,Indiana,August,8,28,15
3540,LaPorte,Indiana,January,6,-1,-10
3541,LaPorte,Indiana,February,6,2,-8
3542,LaPorte,Indiana,March,8,8,-3
3543,LaPorte,Indiana,April,9,15,3
3548,LaPorte,Indiana,septiembre,7,24,10
3549,LaPorte,Indiana,October,8,17,4
3550,LaPorte,Indiana,November,8,9,-1
3551,LaPorte,Indiana,December,7,2,-7
3552,Madison,Indiana,May,10,24,12
3553,Madison,Indiana,June,8,29,17
3554,Madison,Indiana,July,8,31,19
3555,Madison,Indiana,August,6,30,18
3556,Madison,Indiana,January,7,5,-5
3557,Madison,Indiana,February,7,7,-3
3558,Madison,Indiana,March,9,13,1
3559,Madison,Indiana,April,10,20,6
3564,Madison,Indiana,septiembre,6,27,15
3565,Madison,Indiana,October,6,20,8
3566,Madison,Indiana,November,8,14,3
3567,Madison,Indiana,December,8,7,-2
3568,Marion,Indiana,May,9,24,12
3569,Marion,Indiana,June,8,28,17
3570,Marion,Indiana,July,7,30,19
3571,Marion,Indiana,August,6,29,18
3572,Marion,Indiana,January,7,3,-6
3573,Marion,Indiana,February,5,5,-5
3574,Marion,Indiana,March,7,12,1
3575,Marion,Indiana,April,9,19,6
3580,Marion,Indiana,septiembre,5,26,14
3581,Marion,Indiana,October,5,19,7
3582,Marion,Indiana,November,7,12,2
3583,Marion,Indiana,December,7,5,-4
3584,Monroe,Indiana,May,9,23,12
3585,Monroe,Indiana,June,8,28,17
3586,Monroe,Indiana,July,8,30,19
3587,Monroe,Indiana,August,6,29,18
3588,Monroe,Indiana,January,7,3,-7
3589,Monroe,Indiana,February,6,5,-5
3590,Monroe,Indiana,March,8,11,0
3591,Monroe,Indiana,April,10,18,6
3596,Monroe,Indiana,septiembre,6,26,14
3597,Monroe,Indiana,October,6,19,7
3598,Monroe,Indiana,November,7,12,2
3599,Monroe,Indiana,December,8,5,-4
3600,Morgan,Indiana,May,9,23,10
3601,Morgan,Indiana,June,8,27,15
3602,Morgan,Indiana,July,8,29,17
3603,Morgan,Indiana,August,6,29,16
3604,Morgan,Indiana,January,7,2,-8
3605,Morgan,Indiana,February,6,5,-6
3606,Morgan,Indiana,March,8,11,-1
3607,Morgan,Indiana,April,9,18,4
3612,Morgan,Indiana,septiembre,6,26,12
3613,Morgan,Indiana,October,6,19,5
3614,Morgan,Indiana,November,7,12,0
3615,Morgan,Indiana,December,8,5,-5
3616,Porter,Indiana,May,9,22,9
3617,Porter,Indiana,June,8,26,14
3618,Porter,Indiana,July,7,28,17
3619,Porter,Indiana,August,7,27,16
3620,Porter,Indiana,January,7,-1,-9
3621,Porter,Indiana,February,6,2,-7
3622,Porter,Indiana,March,8,8,-2
3623,Porter,Indiana,April,9,16,4
3628,Porter,Indiana,septiembre,7,24,12
3629,Porter,Indiana,October,8,17,6
3630,Porter,Indiana,November,8,9,1
3631,Porter,Indiana,December,8,2,-5
3632,St Joseph,Indiana,May,9,22,9
3633,St Joseph,Indiana,June,8,27,15
3634,St Joseph,Indiana,July,7,29,17
3635,St Joseph,Indiana,August,8,27,16
3636,St Joseph,Indiana,January,9,0,-8
3637,St Joseph,Indiana,February,8,2,-7
3638,St Joseph,Indiana,March,8,8,-2
3639,St Joseph,Indiana,April,9,15,4
3644,St Joseph,Indiana,septiembre,7,24,12
